Country Code,GDP_p_c,enrollment_rate,gross_intake,GPI,unemployment,GDP_growth
ALB,2.3628480906055724,97.79873,111.0067,1.0313,17.0799999237061,2.2300001792204402
ARG,8.242562583543663,99.83681999999999,105.5189,0.9988100000000001,7.64300012588501,2.73115982828946
ARM,2.156301289878414,93.03258000000001,96.09745,1.01521,18.260999679565398,3.1999999989662498
AUT,26.40709158988711,88.62591,98.79947,0.99097,5.72300004959106,1.1429801007153202
AZE,3.2878770945733633,94.26275,101.2468,0.9831799999999999,4.96000003814697,1.05075098242399
BHS,18.837156727063142,79.96521,87.15463000000001,0.9733799999999999,12.0,1.04495952423387
BHR,13.562566150920679,98.02753,101.5267,1.00991,1.07599997520447,2.8619678250822203
BLR,3.5561437502651185,94.25545,102.5434,1.00156,5.91300010681152,-3.8295705582838195
BEL,24.174083812384843,98.38346999999999,98.5835,0.9983,8.48200035095215,1.7395804479644599
BLZ,2.918973981216646,99.28398,105.2814,0.9539799999999999,9.97000026702881,3.43195048353593
BOL,1.814785794846286,88.70123000000001,94.79885999999999,0.97941,3.0659999847412096,4.85718801458208
BRN,18.628959842124186,96.49141999999999,105.7014,0.99665,7.75600004196167,-0.566814608844453
BGR,4.180611026124103,91.9879,92.22758,0.98992,9.14299964904785,3.4711860409071402
BFA,0.34390054490198635,69.95995,105.4033,0.97444,6.7039999961853,3.89454805671508
CPV,1.8189950899873666,93.38192,94.55465,0.9313899999999999,12.114000320434599,1.0068637068455901
KHM,0.6951392108164249,95.56259,118.4842,0.9928299999999999,1.19599997997284,7.036087179296321
CMR,0.793210485461999,95.19802,130.409,0.8982600000000001,3.5390000343322794,5.651463743628299
TCD,0.46368770693103606,79.35908,108.5138,0.76636,2.1719999313354497,2.7676756848447
CHL,8.11411036680588,93.47354,98.87218,0.97015,6.50799989700317,2.30376703614562
COL,3.6916978470541775,96.38124,115.4572,0.96946,8.298999786376951,2.95594590662741
CRI,6.754182968982571,97.81775,104.4789,0.99426,8.99899959564209,3.63173144148803
CIV,0.8526808717611557,76.73595,98.29878000000001,0.88031,3.11299991607666,8.84285994957199
HRV,7.041703061207392,98.49112,98.62031,1.0,16.1749992370605,2.4005918789723597
CUB,4.599180278540038,94.08411,98.01284,0.9431200000000001,2.4000000953674303,4.43814195922121
CYP,13.878506602343599,97.82834,96.50379000000001,0.9998100000000001,14.9079999923706,1.9623040096572
CZE,10.589704890178215,88.69953000000001,102.9619,1.00358,5.0460000038147,5.309238519098139
DNK,31.833676114848835,98.68864,97.60764,0.9867100000000001,6.1680002212524405,2.3425904321483304
DJI,1.0684843424303978,60.7187,63.67819,1.0719299999999998,11.0939998626709,9.683798116481741
DOM,4.000047414724675,95.53493,114.0868,0.9124200000000001,7.60500001907349,7.03337106918114
SLV,2.215049987966018,86.61827,101.0034,0.95835,4.0,2.39502935805318
GNQ,6.742103871504285,44.34574,62.30153000000001,0.9940899999999999,8.906999588012699,-9.11004114881537
EST,10.40848277547866,93.72162,96.51725,1.00007,6.1869997978210405,1.90028658970603
SWZ,2.1766920454440304,84.30768,97.83201,0.90907,23.642999649047898,0.39112886055360707
ETH,0.3821512150009102,85.19824,141.5195,0.90851,2.01399993896484,10.3924630202334
FJI,3.222377289796266,99.11664,102.0939,0.97788,4.5479998588562,4.66380783801587
FIN,25.401648545878334,99.20198,98.85109,0.99416,9.37600040435791,0.500662010259816
GMB,0.39953221790457677,75.91325,107.1731,1.06765,9.538999557495119,5.86824752625856
GEO,2.245419727111609,99.73715,94.19762,1.0015,14.0799999237061,2.88052654618222
DEU,24.744112361839125,99.59314,103.6467,0.9987299999999999,4.62400007247925,1.73896761850342
GRC,10.859986630874275,97.32526,103.5487,0.9910399999999999,24.8969993591309,-0.43783391763126595
GTM,2.3453591354227363,87.80667,103.844,0.9689399999999999,2.50600004196167,4.14004435825474
HND,1.3666012271591081,78.42569,100.6888,0.99439,4.59200000762939,3.84007997093951
HKG,25.364128078788696,98.58053000000001,115.6063,1.01762,3.3199999332427996,2.38780805294535
HUN,7.4742135286478915,96.37729,100.677,0.9968,6.8130002021789595,3.5364254760002596
ISL,31.33976996463097,98.6384,99.22846,0.9990399999999999,3.9790000915527304,4.46786050817248
IRN,2.9386444588119036,99.76909,102.8546,1.0623200000000002,11.0600004196167,-1.3206451197333702
IRL,37.05844607302501,99.95062,97.0585,0.996,9.9040002822876,25.1625330914968
ISR,21.43288515641905,97.555,105.5746,1.00666,5.25099992752075,2.5673521353070603
ITA,18.03475825203561,98.26567,98.29482,0.99571,11.895999908447301,0.923992487509764
JAM,2.924783283087647,85.39281,85.22515,1.05793,13.510999679565401,0.904845989688582
KAZ,6.28292954144792,99.84772,111.8909,1.00178,4.92999982833862,1.2000000000006699
KOR,16.202357538831123,98.53611,100.3998,0.9984700000000001,3.5999999046325697,2.79023616714657
KGZ,0.6701395994398953,98.08164000000001,106.1997,0.99271,7.55999994277954,3.9000000000000603
LAO,1.2760429369486264,94.89325,107.637,0.9543299999999999,0.680000007152557,7.26959177501747
LVA,8.153277231336261,96.48701,98.95319,1.00073,9.8730001449585,2.97170383161259
LSO,0.728776975446466,89.23853000000001,120.1813,0.9501200000000001,24.2980003356934,2.7666596868900197
LTU,8.5431443082756,99.75232,102.70299999999999,0.99725,9.11999988555908,2.02062799496009
LUX,60.03216191644447,97.99135,101.3613,0.99895,6.669000148773191,3.91596276667379
MAC,45.03590390989663,94.22006,98.46547,0.98414,1.8099999427795401,-21.5944876822351
MYS,5.857679759773021,99.51663,104.7964,1.00579,3.0999999046325697,5.09151572079188
MDV,5.3998085095679365,96.27600000000001,103.8928,0.97116,5.67799997329712,2.88456752643582
MLI,0.449020429101078,60.63998,65.3733,0.89754,7.729000091552731,5.96258159051517
MLT,14.373925660653827,98.98470999999999,105.8694,1.01476,5.39099979400635,10.6610613756818
MUS,5.535534263479652,96.27653000000001,100.2286,1.01763,7.40999984741211,3.5530717035885
MEX,5.74206370766729,99.3177,106.1223,0.9975299999999999,4.3130002021789595,3.2879915993309394
MDA,1.3026608764157865,89.94997,94.38186999999999,0.98993,3.69400000572205,-0.33823529610040703
MNG,2.3423738155051903,96.79701,110.7233,0.9819700000000001,4.861000061035161,2.37983580688481
MNE,3.8939781771285333,94.77611999999999,99.29302,1.00248,17.544000625610398,3.3904208759037595
MOZ,0.32711759160785403,91.51459,160.765,0.9085200000000001,3.42600011825562,6.593985956795441
NPL,0.47375721044404606,98.34165,159.4402,1.0618100000000001,1.42900002002716,3.3229054393755697
NZL,23.049393494797652,97.73031,98.5977,1.00536,5.36499977111816,3.58470455734231
NER,0.21570408063082214,62.49335,87.43849,0.84673,0.29899999499321,4.33707236874471
MKD,2.893326514474396,91.7157,98.02541,1.0032299999999998,26.068000793457,3.8556103019119705
NOR,44.5460883534152,99.77225,100.7819,0.9972799999999999,4.2960000038147,1.9700529338546597
OMN,9.654370558949863,97.56094,105.5131,1.04484,3.54200005531311,4.741250717154321
PAK,0.8109630632007558,61.786269999999995,105.2766,0.85593,3.5659999847412096,4.73114747532901
PAN,8.147666559292276,87.74289,99.91096999999999,0.97546,3.00200009346008,5.7327636321358
PER,3.722608479012563,96.4863,95.81900999999999,1.00091,3.0,3.25588959720268
PHL,1.7138716480982734,95.57779000000001,112.3358,0.9700799999999999,3.02600002288818,6.066548904721
PRI,17.791790694046515,83.68389,90.00935,1.00037,12.0,-1.04944365110553
QAT,37.68226573469652,96.17885,109.476,1.00843,0.159999996423721,3.65751026057268
ROU,5.366398530078788,89.5262,88.15012,0.98508,6.8119997978210405,3.8715223230983997
RUS,5.567418978315387,96.625,102.3605,1.0079200000000001,5.57100009918213,-2.30773350532326
WSM,2.4838639517794325,97.3378,102.6134,1.00033,8.61600017547607,1.45106458049524
STP,0.9539437239761868,88.67936,98.79966,0.96129,13.604999542236301,3.7983989357406496
SEN,0.7285297377881685,75.44459,97.72475,1.11954,6.756999969482419,6.367263427109981
SRB,3.3385656203485237,99.20623,100.1316,0.99775,17.9209995269775,1.7763209728228602
SLE,0.35162002960796035,97.7963,151.8492,1.01415,4.75,-20.598770715403198
SVK,9.67315009739625,82.6023,93.79335,0.9920100000000001,11.480999946594201,4.1748731972655
SVN,12.485744680705443,98.28673,103.3361,1.00744,8.96199989318848,2.30489583453499
ZAF,3.425728957538168,95.64551,97.97832,0.9333799999999999,25.1560001373291,1.19373280124428
SSD,0.6902949730391075,35.25072,98.91152,0.7078,12.838000297546401,-10.791808492829599
ESP,15.43262690188702,99.4684,99.55731999999999,1.01552,22.056999206543,3.64468015224406
LKA,2.2976621879309085,99.06271,97.68594,0.9789399999999999,4.67000007629395,5.007683304727809
VCT,4.137348831244534,97.95395,117.3475,0.9907299999999999,20.1989994049072,1.34163899206334
SDN,1.4864795779747304,56.97478,81.16541,0.9131600000000001,13.154999732971199,4.9060451745281695
SUR,5.118014268659776,89.26191,104.0158,1.01013,7.21999979019165,-3.4110958635561697
SWE,30.385717668963707,99.6353,100.3057,1.04178,7.43200016021729,4.45656910952738
CHE,49.06517778660056,99.62628000000001,98.07257,0.99718,4.80100011825562,1.33336908591109
TJK,0.5553772710662771,97.5325,97.0824,0.9892,11.3500003814697,6.0082878718954005
TLS,1.54530417393977,93.6077,111.5395,0.9753700000000001,3.34299993515015,20.6256011239109
TGO,0.34113068952240755,96.56895,134.373,0.9472799999999999,1.69200003147125,5.7428684533344905
TUR,6.544720597467409,94.73559,93.1765,0.99315,10.236000061035199,6.085886616194429
ARE,23.111463065695986,99.89206999999999,97.69476,1.0017399999999999,1.83599996566772,5.0647015294483095
GBR,26.583717985997467,99.93433,98.24580999999999,0.9986799999999999,5.30100011825562,2.34912144328266
USA,33.95490062938033,98.19414,102.8137,0.99975,5.28000020980835,2.88091046576689
URY,9.333299384978595,99.92276,99.96131,0.9783799999999999,7.48799991607666,0.370741266957879
UZB,1.5631600460482558,97.16237,103.9401,0.98564,5.15000009536743,7.44847030833367
PSE,1.7740660353783955,95.36596,97.59393,0.99987,25.820999145507802,3.42873225371518
