Time	"Time Code"	"Country Name"	"Country Code"	"Access to electricity (% of population) [EG.ELC.ACCS.ZS]"	"Agricultural land (% of land area) [AG.LND.AGRI.ZS]"	"Bank capital to assets ratio (%) [FB.BNK.CAPA.ZS]"	"Secondary education, pupils [SE.SEC.ENRL]"	"GDP per capita (current US$) [NY.GDP.PCAP.CD]"	"Rural population (% of total population) [SP.RUR.TOTL.ZS]"	"Population density (people per sq. km of land area) [EN.POP.DNST]"	"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]"	"Adjusted net enrollment rate, primary (% of primary school age children) [SE.PRM.TENR]"	"Children out of school (% of primary school age) [SE.PRM.UNER.ZS]"	"Pupil-teacher ratio, primary [SE.PRM.ENRL.TC.ZS]"	"Gross intake ratio in first grade of primary education, total (% of relevant age group) [SE.PRM.GINT.ZS]"	"School enrollment, primary (gross), gender parity index (GPI) [SE.ENR.PRIM.FM.ZS]"	"Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]"	"Population, total [SP.POP.TOTL]"	"Proportion of seats held by women in national parliaments (%) [SG.GEN.PARL.ZS]"	"Total debt service (% of GNI) [DT.TDS.DECT.GN.ZS]"	"GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]"	"Number of people spending more than 10% of household consumption or income on out-of-pocket health care expenditure [SH.UHC.OOPC.10.TO]"
2015	"YR2015"	"Fragile and conflict affected situations"	"FCS"	"49.5449521305571"	"31.0657785212721"	""	"29600000"	"1604.7282596547"	"59.683424646963"	"37.3085791050199"	"62.4507764470904"	""	"22.24142"	"30.80537"	"113.7792"	"0.89902"	"5.79799183936422"	"482530732"	"17.5320390070922"	""	"2.20762963854129"	""
2015	"YR2015"	"Heavily indebted poor countries (HIPC)"	"HPC"	"35.7088702969042"	"38.6026507798833"	""	"40500000"	"920.453212524935"	"65.358531198803"	"41.3221159053859"	"61.8529532354614"	"80.05292"	"18.46955"	"39.91367"	"122.9378"	"0.94184"	"4.05718275143846"	"718128416"	"23.8529498525074"	"1.75629791452093"	"4.92154470737884"	""
2015	"YR2015"	"High income"	"HIC"	"99.9774823586041"	"35.0043000833785"	""	"91000000"	"40165.803565013"	"19.1977871700713"	"33.9068591362794"	"80.489614238007"	"96.47245"	"1.54695"	"14.02746"	"102.0354"	"1.00032"	"6.61768215470264"	"1191326855"	"26.4352066280695"	""	"2.32351692740312"	""
2015	"YR2015"	"IBRD only"	"IBD"	"95.3995991069288"	"36.8219223336077"	""	"393000000"	"5569.06018198571"	"46.8396352144146"	"66.9335350528997"	"72.6998757740349"	"96.35205"	"3.15313"	"21.50841"	"101.875"	"1.02594"	"5.09075981888001"	"4643767826"	"21.302906569993"	"3.37260056659114"	"3.83840307797836"	""
2015	"YR2015"	"IDA & IBRD total"	"IBT"	"84.5880380104435"	"38.2994954459022"	""	"493000000"	"4525.22881119629"	"51.1924806401168"	"66.1831353219368"	"70.3570285718675"	"89.59166"	"9.17189"	"24.93134"	"105.9901"	"0.99935"	"4.94476753355135"	"6177552865"	"21.1147879666546"	"3.22030854624376"	"3.85992056093288"	""
2015	"YR2015"	"IDA blend"	"IDB"	"61.9504174670581"	"52.9682780180572"	""	"35800000"	"1973.22411235597"	"58.9947118511936"	"87.2139625004827"	"61.3715771686845"	"68.29077"	"26.76077"	"34.17311"	"97.98697"	"0.93768"	"5.01495847000882"	"519429790"	"18.5729672200937"	"1.28082502141942"	"3.87309412704127"	""
2015	"YR2015"	"IDA only"	"IDX"	"46.684428676687"	"39.1412807289455"	""	"64900000"	"1057.63364806334"	"67.1530131294254"	"56.33527683196"	"64.2317621230049"	"81.45209"	"17.07589"	"36.95185"	"121.6387"	"0.95709"	"4.13247312263934"	"1014355249"	"21.4313406177768"	"1.53534470157483"	"4.46201139414811"	""
2015	"YR2015"	"IDA total"	"IDA"	"51.854390014095"	"42.5796472508281"	""	""	"1373.1104669923"	"64.3868831798087"	"64.010406655651"	"63.2631798463835"	"77.18493"	"20.21756"	"36.09061"	"113.6516"	"0.95187"	"4.40583420163426"	"1533785039"	"20.8655431027218"	"1.40405226719263"	"4.16114523936741"	""
2015	"YR2015"	"Late-demographic dividend"	"LTE"	"99.1474013384114"	"35.9046471355268"	""	"163000000"	"8192.35705701305"	"40.1774263078788"	"50.4981695189028"	"75.4708163356487"	""	"2.72577"	"16.96478"	"98.43501"	"0.99548"	"5.07930000635753"	"2248128427"	"19.361890651883"	"2.95342909848155"	"3.86532065468398"	""
2015	"YR2015"	"Latin America & Caribbean"	"LCN"	"97.3261873059236"	"37.7074322344699"	""	"64000000"	"8856.92881680014"	"20.1459869687732"	"31.0881133549573"	"74.9596978463725"	"95.53155"	"3.2998"	"21.72139"	"100.5032"	"0.97973"	"6.64065852746808"	"622986033"	"27.9083501513623"	"4.72823320339924"	"0.0873921114982181"	""
