Time	"Time Code"	"Country Name"	"Country Code"	"Adolescents out of school (% of lower secondary school age) [SE.SEC.UNER.LO.ZS]"	"Secondary education, pupils [SE.SEC.ENRL]"	"Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]"	"Pupil-teacher ratio, secondary [SE.SEC.ENRL.TC.ZS]"	"Compulsory education, duration (years) [SE.COM.DURS]"	"GDP per capita (current US$) [NY.GDP.PCAP.CD]"	"Population density (people per sq. km of land area) [EN.POP.DNST]"	"Rural population (% of total population) [SP.RUR.TOTL.ZS]"	"Surface area (sq. km) [AG.SRF.TOTL.K2]"	"Poverty gap at $1.90 a day (2011 PPP) (%) [SI.POV.GAPS]"	"Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]"	"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]"
2015	"YR2015"	"OECD members"	"OED"	"3.19218"	"109000000"	""	"13.74787"	""	"36604.0362097952"	"37.1512469603221"	"19.9903961361052"	"36569351.1181641"	""	"6.77423744046575"	"79.9340259473974"
2015	"YR2015"	"Other small states"	"OSS"	"17.49139"	"2019982"	""	"14.44537"	""	"12832.0401307779"	"14.2479210539112"	"39.4046345386412"	"2072942.99911499"	""	""	"67.405236123087"
2015	"YR2015"	"Pacific island small states"	"PSS"	"8.37149"	""	""	""	""	"3782.03277671077"	"36.6927102803738"	"61.958740396371"	"65150"	""	""	"69.4444587743698"
2015	"YR2015"	"Post-demographic dividend"	"PST"	"2.66803"	"84000000"	""	"12.66088"	""	"40474.3376022512"	"34.8666124722398"	"19.2540392198849"	"33539510.5025387"	""	"6.82350992685866"	"80.3948986810846"
2015	"YR2015"	"Pre-demographic dividend"	"PRE"	"38.29893"	"49000000"	""	"19.77498"	""	"1585.94226536399"	"47.5430449453838"	"60.4061098749883"	"18162307.9922485"	""	""	"59.5119589254375"
2015	"YR2015"	"Small states"	"SST"	"16.12712"	"2815803"	""	"14.91021"	""	"11732.1733942695"	"15.4054879853105"	"42.6227852308498"	"2573082.99911499"	""	""	"68.6140108206917"
2015	"YR2015"	"South Asia"	"SAS"	"16.94862"	"165000000"	""	"30.44821"	""	"1541.83581285704"	"366.632890589216"	"67.2624387081595"	"5135333.06152344"	""	""	"68.6419006832955"
2015	"YR2015"	"South Asia (IDA & IBRD)"	"TSA"	"16.94862"	"165000000"	""	"30.44821"	""	"1541.83581285704"	"366.632890589216"	"67.2624387081595"	"5135333.06152344"	""	""	"68.6419006832955"
2015	"YR2015"	"Sub-Saharan Africa"	"SSF"	"38.48069"	"58900000"	""	"21.00043"	""	"1669.44341764139"	"46.861950891294"	"61.4089272637537"	"21767456.000061"	"15.8"	""	"59.9528305490993"
2015	"YR2015"	"Sub-Saharan Africa (excluding high income)"	"SSA"	"38.48271"	"58900000"	""	"21.00242"	""	"1668.21598248686"	"46.8585678370848"	"61.4105048489441"	"21766996.000061"	""	""	"59.9514844675703"
2015	"YR2015"	"Sub-Saharan Africa (IDA & IBRD countries)"	"TSS"	"38.48069"	"58900000"	""	"21.00043"	""	"1669.4434176414"	"46.861950891294"	"61.4089272637537"	"21767456.000061"	""	""	"59.9528305490993"
2015	"YR2015"	"Upper middle income"	"UMC"	"7.02517"	"204000000"	""	"14.59857"	""	"8032.48945868025"	"44.4699249261985"	"36.2134219403396"	"59893148.09375"	"0.5"	""	"75.0175270400109"
2015	"YR2015"	"World"	"WLD"	"15.98394"	"583000000"	""	"17.41341"	""	"10217.6560130209"	"57.6432647583704"	"46.0866267951417"	"132048793.077485"	"3.1"	""	"71.9478983340412"
	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
Data from database: World Development Indicators	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
Last Updated: 10/28/2019	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
